value,Complex,var,Month,Year
9.64711570739746,SGNorth,sstRe,09,2004
9.14255142211914,SGSouth,sstRe,09,2004
9.8703145980835,SPEast,sstRe,09,2004
9.44082927703857,SPEnglishBay,sstRe,09,2004
9.50065040588379,SPReefPoint,sstRe,09,2004
7.24260854721069,SGNorth,sstRe,10,2004
7.135986328125,SGSouth,sstRe,10,2004
6.69012403488159,SPEast,sstRe,10,2004
6.78927230834961,SPEnglishBay,sstRe,10,2004
6.92345285415649,SPReefPoint,sstRe,10,2004
5.12955284118652,SGNorth,sstRe,11,2004
5.26836442947388,SGSouth,sstRe,11,2004
4.01598834991455,SPEast,sstRe,11,2004
4.35418272018433,SPEnglishBay,sstRe,11,2004
4.6816782951355,SPReefPoint,sstRe,11,2004
10.0843620300293,SGNorth,sstRe,07,2005
9.58170127868652,SGSouth,sstRe,07,2005
9.32275581359863,SPEast,sstRe,07,2005
9.26398277282715,SPEnglishBay,sstRe,07,2005
9.50265312194824,SPReefPoint,sstRe,07,2005
10.211742401123,SGNorth,sstRe,08,2005
9.73896598815918,SGSouth,sstRe,08,2005
9.91541862487793,SPEast,sstRe,08,2005
9.71937465667725,SPEnglishBay,sstRe,08,2005
9.862060546875,SPReefPoint,sstRe,08,2005
9.11656951904297,SGNorth,sstRe,09,2005
9.08950901031494,SGSouth,sstRe,09,2005
8.69256210327148,SPEast,sstRe,09,2005
9.10846424102783,SPEnglishBay,sstRe,09,2005
9.16162490844727,SPReefPoint,sstRe,09,2005
7.52552795410156,SGNorth,sstRe,10,2005
7.72523832321167,SGSouth,sstRe,10,2005
6.45276641845703,SPEast,sstRe,10,2005
7.01371240615845,SPEnglishBay,sstRe,10,2005
7.2387261390686,SPReefPoint,sstRe,10,2005
5.65208148956299,SGNorth,sstRe,11,2005
5.80534601211548,SGSouth,sstRe,11,2005
4.44083499908447,SPEast,sstRe,11,2005
5.09221839904785,SPEnglishBay,sstRe,11,2005
5.39137315750122,SPReefPoint,sstRe,11,2005
8.58512687683106,SGNorth,sstRe,07,2006
8.62353134155273,SGSouth,sstRe,07,2006
7.84074020385742,SPEast,sstRe,07,2006
7.98045539855957,SPEnglishBay,sstRe,07,2006
8.17237758636475,SPReefPoint,sstRe,07,2006
8.65937423706055,SGNorth,sstRe,08,2006
8.68544769287109,SGSouth,sstRe,08,2006
8.16257476806641,SPEast,sstRe,08,2006
8.55738925933838,SPEnglishBay,sstRe,08,2006
8.64751625061035,SPReefPoint,sstRe,08,2006
8.70327091217041,SGNorth,sstRe,09,2006
8.5601282119751,SGSouth,sstRe,09,2006
8.09410572052002,SPEast,sstRe,09,2006
8.38824844360352,SPEnglishBay,sstRe,09,2006
8.56893444061279,SPReefPoint,sstRe,09,2006
7.05339860916138,SGNorth,sstRe,10,2006
7.25639152526856,SGSouth,sstRe,10,2006
5.94059419631958,SPEast,sstRe,10,2006
6.79460859298706,SPEnglishBay,sstRe,10,2006
6.99448156356812,SPReefPoint,sstRe,10,2006
5.1247706413269,SGNorth,sstRe,11,2006
5.46724128723145,SGSouth,sstRe,11,2006
3.51582479476929,SPEast,sstRe,11,2006
4.58421468734741,SPEnglishBay,sstRe,11,2006
4.90944623947144,SPReefPoint,sstRe,11,2006
8.23044013977051,SGNorth,sstRe,07,2007
8.30701637268066,SGSouth,sstRe,07,2007
7.24644708633423,SPEast,sstRe,07,2007
7.53646516799927,SPEnglishBay,sstRe,07,2007
7.84523057937622,SPReefPoint,sstRe,07,2007
9.83003044128418,SGNorth,sstRe,08,2007
9.70028591156006,SGSouth,sstRe,08,2007
8.98263835906982,SPEast,sstRe,08,2007
9.09066104888916,SPEnglishBay,sstRe,08,2007
9.36587619781494,SPReefPoint,sstRe,08,2007
8.19145202636719,SGNorth,sstRe,09,2007
8.30796527862549,SGSouth,sstRe,09,2007
7.61069297790527,SPEast,sstRe,09,2007
8.29853439331055,SPEnglishBay,sstRe,09,2007
8.25809192657471,SPReefPoint,sstRe,09,2007
6.18603992462158,SGNorth,sstRe,10,2007
6.62456178665161,SGSouth,sstRe,10,2007
4.94921064376831,SPEast,sstRe,10,2007
5.77503442764282,SPEnglishBay,sstRe,10,2007
5.89322328567505,SPReefPoint,sstRe,10,2007
4.5941915512085,SGNorth,sstRe,11,2007
5.05249357223511,SGSouth,sstRe,11,2007
3.12944459915161,SPEast,sstRe,11,2007
4.01894950866699,SPEnglishBay,sstRe,11,2007
4.26551198959351,SPReefPoint,sstRe,11,2007
7.02757024765015,SGNorth,sstRe,07,2008
7.34580802917481,SGSouth,sstRe,07,2008
5.7860164642334,SPEast,sstRe,07,2008
6.7122392654419,SPEnglishBay,sstRe,07,2008
6.88387155532837,SPReefPoint,sstRe,07,2008
8.88420295715332,SGNorth,sstRe,08,2008
8.93721008300781,SGSouth,sstRe,08,2008
8.38768196105957,SPEast,sstRe,08,2008
9.11398887634277,SPEnglishBay,sstRe,08,2008
9.1222095489502,SPReefPoint,sstRe,08,2008
8.50541019439697,SGNorth,sstRe,09,2008
8.31220436096191,SGSouth,sstRe,09,2008
7.86544370651245,SPEast,sstRe,09,2008
8.51576614379883,SPEnglishBay,sstRe,09,2008
8.61329460144043,SPReefPoint,sstRe,09,2008
6.97054433822632,SGNorth,sstRe,10,2008
7.04750204086304,SGSouth,sstRe,10,2008
5.4024920463562,SPEast,sstRe,10,2008
6.24558115005493,SPEnglishBay,sstRe,10,2008
6.62214279174805,SPReefPoint,sstRe,10,2008
4.96824359893799,SGNorth,sstRe,11,2008
5.2479681968689,SGSouth,sstRe,11,2008
3.20406579971314,SPEast,sstRe,11,2008
4.19746446609497,SPEnglishBay,sstRe,11,2008
4.54820394515991,SPReefPoint,sstRe,11,2008
7.22638177871704,SGNorth,sstRe,07,2009
7.08466148376465,SGSouth,sstRe,07,2009
6.16384124755859,SPEast,sstRe,07,2009
6.72742748260498,SPEnglishBay,sstRe,07,2009
6.95742225646973,SPReefPoint,sstRe,07,2009
8.73509311676025,SGNorth,sstRe,08,2009
8.52821350097656,SGSouth,sstRe,08,2009
8.56286430358887,SPEast,sstRe,08,2009
8.65925312042236,SPEnglishBay,sstRe,08,2009
8.68629932403565,SPReefPoint,sstRe,08,2009
7.71300649642944,SGNorth,sstRe,09,2009
7.5386381149292,SGSouth,sstRe,09,2009
7.56189441680908,SPEast,sstRe,09,2009
7.78691673278809,SPEnglishBay,sstRe,09,2009
7.76012134552002,SPReefPoint,sstRe,09,2009
6.47751379013062,SGNorth,sstRe,10,2009
